Title,Release Year,Director,DP,Editor,Production Designer,Writer,Producer,Actors,Studio,Country of Origin,Title in Original Language,TMDb ID,IMDb ID,Your Rating
Man Bites Dog,1992,Rémy Belvaux|Benoît Poelvoorde|André Bonzel,André Bonzel,Rémy Belvaux|Eric Dardill,,André Bonzel|Benoît Poelvoorde|Vincent Tavier|Rémy Belvaux,Benoît Poelvoorde|André Bonzel|Rémy Belvaux,Benoît Poelvoorde|Rémy Belvaux|André Bonzel|Jacqueline Poelvoorde-Pappaert|Valérie Parent|Édith Le Merdy|Jenny Drye|Malou Madou|Willy Vandenbroeck|Nelly Pappaert,Les Artistes Anonymes,Belgium,C'est arrivé près de chez vous,10086,tt0103905,6.0
Call Me by Your Name,2017,Luca Guadagnino,Sayombhu Mukdeeprom,Walter Fasano,Samuel Deshors,James Ivory,Rodrigo Teixeira|Marco Morabito|Peter Spears|Luca Guadagnino|Emilie Georges|James Ivory|Howard Rosenman,Armie Hammer|Timothée Chalamet|Michael Stuhlbarg|Amira Casar|Esther Garrel|Victoire du Bois|Vanda Capriolo|Antonio Rimoldi|Elena Bucci|Marco Sgrosso,La Cinéfacture|Frenesy Film|M.Y.R.A. Entertainment|RT Features|Water's End Productions|Memento Films International,Brazil|France|Italy|United States of America,Call Me by Your Name,398818,tt5726616,3.0
Cameraperson,2016,Kirsten Johnson,Kirsten Johnson,Nels Bangerter,,Lisa Freedman|Doris Baizley,Marilyn Ness|Kirsten Johnson,Kirsten Johnson|Jacques Derrida|Michael Moore|Richard Johnson,Fork Films|Big Mouth Productions|The Bertha Foundation|Chicken & Egg Films,United States of America,Cameraperson,376534,tt5375040,6.0
Captain America: Civil War,2016,Joe Russo|Anthony Russo,Trent Opaloch,Jeffrey Ford,Owen Paterson,Christopher Markus|Stephen McFeely,Kevin Feige,Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan|Anthony Mackie|Don Cheadle|Jeremy Renner|Chadwick Boseman|Paul Bettany|Elizabeth Olsen,Marvel Studios,United States of America,Captain America: Civil War,271110,tt3498820,5.0
Captain America: The First Avenger,2011,Joe Johnston,Shelly Johnson,Robert Dalva|Jeffrey Ford,Rick Heinrichs,Stephen McFeely|Christopher Markus,Kevin Feige,Chris Evans|Hayley Atwell|Sebastian Stan|Tommy Lee Jones|Hugo Weaving|Dominic Cooper|Richard Armitage|Stanley Tucci|Samuel L. Jackson|Toby Jones,Marvel Studios|Marvel Entertainment,United States of America,Captain America: The First Avenger,1771,tt0458339,6.0
Captain America: The Winter Soldier,2014,Joe Russo|Anthony Russo,Trent Opaloch,Matthew Schmidt|Jeffrey Ford,Peter Wenham,Christopher Markus|Stephen McFeely,Kevin Feige,Chris Evans|Samuel L. Jackson|Scarlett Johansson|Robert Redford|Sebastian Stan|Anthony Mackie|Cobie Smulders|Frank Grillo|Maximiliano Hernández|Emily VanCamp,Marvel Studios,United States of America,Captain America: The Winter Soldier,100402,tt1843866,8.0
Captain Marvel,2019,Ryan Fleck|Anna Boden,Ben Davis,Elliot Graham|Debbie Berman,Andy Nicholson,Geneva Robertson-Dworet|Ryan Fleck|Anna Boden|Meg LeFauve|Nicole Perlman,Kevin Feige,Brie Larson|Samuel L. Jackson|Ben Mendelsohn|Jude Law|Annette Bening|Djimon Hounsou|Lee Pace|Lashana Lynch|Gemma Chan|Clark Gregg,Marvel Studios,United States of America,Captain Marvel,299537,tt4154664,9.0
Cars,2006,John Lasseter,Jeremy Lasky|Jean-Claude Kalache,Ken Schretzmann,William Cone|Bob Pauley,Dan Fogelman|Joe Ranft|Jørgen Klubien|Phil Lorin|John Lasseter|Kiel Murray,Darla K. Anderson,Owen Wilson|Paul Newman|Bonnie Hunt|Larry the Cable Guy|Cheech Marin|Tony Shalhoub|Guido Quaroni|Jenifer Lewis|Paul Dooley|Michael Wallis,Pixar,United States of America,Cars,920,tt0317219,9.0
Casablanca,1943,Michael Curtiz,Arthur Edeson,Owen Marks,,Julius J. Epstein|Howard Koch|Philip G. Epstein,Hal B. Wallis,Humphrey Bogart|Ingrid Bergman|Paul Henreid|Claude Rains|Conrad Veidt|Sydney Greenstreet|Peter Lorre|S.Z. Sakall|Madeleine Lebeau|Dooley Wilson,Warner Bros. Pictures,United States of America,Casablanca,289,tt0034583,9.0
Casino,1995,Martin Scorsese,Robert Richardson,Thelma Schoonmaker,Dante Ferretti,Martin Scorsese|Nicholas Pileggi,Barbara De Fina,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|L.Q. Jones|Dick Smothers|Frank Vincent,Universal Pictures|Syalis DA|Légende Films|Cappa/De Fina Productions,France|United States of America,Casino,524,tt0112641,8.0
Casino Royale,2006,Martin Campbell,Phil Meheux,Stuart Baird,Peter Lamont,Robert Wade|Neal Purvis|Paul Haggis,Michael G. Wilson|Barbara Broccoli,Daniel Craig|Eva Green|Mads Mikkelsen|Judi Dench|Jeffrey Wright|Giancarlo Giannini|Caterina Murino|Simon Abkarian|Isaach de Bankolé|Jesper Christensen,Metro-Goldwyn-Mayer|Columbia Pictures|EON Productions|Casino Royale Productions,United Kingdom|United States of America,Casino Royale,36557,tt0381061,6.0
Cast Away,2000,Robert Zemeckis,Don Burgess,Arthur Schmidt,Rick Carter,William Broyles Jr.,Tom Hanks|Steve Starkey|Jack Rapke|Robert Zemeckis,Tom Hanks|Helen Hunt|Chris Noth|Paul Sanchez|Lari White|Leonid Citer|David Allen Brooks|Semion Sudarikov|Peter Von Berg|Dmitri S. Boudrine,20th Century Fox|DreamWorks Pictures|ImageMovers|Playtone,United States of America,Cast Away,8358,tt0162222,8.0
Castello Cavalcanti,2013,Wes Anderson,Darius Khondji,Stephen Perkins,Stefano Maria Ortolani,Wes Anderson,Roman Coppola|Jeremy Dawson|Julie Sawyer,Jason Schwartzman|Giada Colagrande|Giorgio Zancolla|Paolo Coluccio|Silvano Broglia|Francesco Bonaccorso|Michele de Paolo|Igino Angelini|Livia La Terza|Giampolo Pietraforte,The Directors Bureau|Hi! Production|Prada|American Empirical Pictures,Italy|United States of America,Castello Cavalcanti,236028,tt3331512,9.0
Catch Me If You Can,2002,Steven Spielberg,Janusz Kamiński,Michael Kahn,Jeannine Oppewall,Jeff Nathanson,Steven Spielberg|Walter F. Parkes,Leonardo DiCaprio|Tom Hanks|Christopher Walken|Martin Sheen|Nathalie Baye|Amy Adams|James Brolin|Brian Howe|Frank John Hughes|Steve Eastin,Kemp Company|Splendid Pictures|DreamWorks Pictures|Parkes+MacDonald Production,United States of America,Catch Me If You Can,640,tt0264464,9.0
Catch-22,1970,Mike Nichols,David Watkin,Sam O'Steen,Richard Sylbert,Buck Henry,John Calley|Martin Ransohoff,Alan Arkin|Martin Balsam|Richard Benjamin|Art Garfunkel|Jack Gilford|Buck Henry|Bob Newhart|Anthony Perkins|Paula Prentiss|Martin Sheen,Paramount Pictures|Filmways Pictures,United States of America,Catch-22,10364,tt0065528,10.0
Chappie,2015,Neill Blomkamp,Trent Opaloch,Julian Clarke|Mark Goldblatt,Jules Cook,Neill Blomkamp|Terri Tatchell,Neill Blomkamp|Simon Kinberg,Sharlto Copley|Dev Patel|Hugh Jackman|Ninja|Yo-Landi Visser|Sigourney Weaver|Chris Shields|Anderson Cooper|Jose Pablo Cantillo|Brandon Auret,Columbia Pictures|MRC|LStar Capital|Genre Films|Sony Pictures Releasing,United States of America|South Africa,Chappie,198184,tt1823672,9.0
Charlie and the Chocolate Factory,2005,Tim Burton,Philippe Rousselot,Chris Lebenzon,Alex McDowell,John August,Richard D. Zanuck|Brad Grey|Lorne Orleans,Johnny Depp|Freddie Highmore|David Kelly|Helena Bonham Carter|Noah Taylor|Missi Pyle|James Fox|Deep Roy|Christopher Lee|Adam Godley,Warner Bros. Pictures|Village Roadshow Pictures|The Zanuck Company|Plan B Entertainment|Theobald Film Productions,United Kingdom|United States of America,Charlie and the Chocolate Factory,118,tt0367594,7.0
Chef,2014,Jon Favreau,Kramer Morgenthau,Robert Leighton,Denise Pizzini,Jon Favreau,Sergey Bespalov|Jon Favreau,Jon Favreau|John Leguizamo|Bobby Cannavale|Emjay Anthony|Scarlett Johansson|Dustin Hoffman|Sofía Vergara|Oliver Platt|Amy Sedaris|Robert Downey Jr.,Altus Media|Fairview Entertainment|Prescience,United States of America,Chef,212778,tt2883512,8.0
Children of Men,2006,Alfonso Cuarón,Emmanuel Lubezki,Alfonso Cuarón|Alex Rodríguez,Geoffrey Kirkland|Jim Clay,David Arata|Alfonso Cuarón|Timothy J. Sexton|Hawk Ostby|Mark Fergus,Marc Abraham|Iain Smith|Tony Smith|Pablo Casacuberta|Eric Newman|Hilary Shor,Clive Owen|Clare-Hope Ashitey|Chiwetel Ejiofor|Julianne Moore|Michael Caine|Pam Ferris|Charlie Hunnam|Danny Huston|Peter Mullan|Oana Pellea,Universal Pictures|Strike Entertainment|Hit & Run Productions,United Kingdom|United States of America,Children of Men,9693,tt0206634,10.0
Chinatown,1974,Roman Polanski,John A. Alonzo,Sam O'Steen,Richard Sylbert,Robert Towne,Robert Evans,Jack Nicholson|Faye Dunaway|John Huston|Perry Lopez|John Hillerman|Diane Ladd|Roman Polanski|Roy Jenson|Richard Bakalyan|James Hong,Paramount Pictures|Long Road Productions|Robert Evans Productions,United States of America,Chinatown,829,tt0071315,8.0
The Peasants,2023,Hugh Welchman|DK Welchman,Szymon Kuriata|Radek Ładczuk|Kamil Polak,Miki Wecel|Patrycja Piróg|DK Welchman,Piotr Dominiak|Elwira Pluta,DK Welchman|Hugh Welchman,Hugh Welchman|Sean M. Bobbitt,Kamila Urzędowska|Robert Gulaczyk|Mirosław Baka|Sonia Mietielica|Ewa Kasprzyk|Cezary Łukaszewicz|Małgorzata Kożuchowska|Sonia Bohosiewicz|Dorota Stalińska|Andrzej Konopka,Breakthru Films|ArtShot|DigitalKraft|CANAL+ Polska|Narodowe Centrum Kultury|Mazowiecki Instytut Kultury|SKP Ślusarek Kubiak Pieczyk,Poland|Lithuania|Serbia,Chłopi,734002,tt10651230,7.0
Christmas with the Kranks,2004,Joe Roth,Don Burgess,Nick Moore,Garreth Stover,Chris Columbus,Michael Barnathan|Chris Columbus|Mark Radcliffe,Tim Allen|Jamie Lee Curtis|Dan Aykroyd|M. Emmet Walsh|Elizabeth Franz|Erik Per Sullivan|Cheech Marin|Jake Busey|Austin Pendleton|Tom Poston,Revolution Studios|1492 Pictures,United States of America,Christmas with the Kranks,13673,tt0388419,3.0
City of God,2002,Fernando Meirelles,César Charlone,Daniel Rezende,Tulé Peak,Bráulio Mantovani,Donald Ranvaud|Juliette Renaud|Andrea Barata Ribeiro|Daniel Filho|Marc Beauchamps|Vincent Maraval|Hank Levine|Mauricio Andrade Ramos|Walter Salles,Alexandre Rodrigues|Leandro Firmino|Phellipe Haagensen|Douglas Silva|Jonathan Haagensen|Matheus Nachtergaele|Seu Jorge|Jefechander Suplino|Alice Braga|Emerson Gomes,O2 Filmes|VideoFilmes|Wild Bunch|Hank Levine Film & Music|Globo Filmes|Lumière,Brazil|France|Germany,Cidade de Deus,598,tt0317248,7.0
Citizen Kane,1941,Orson Welles,Gregg Toland,Robert Wise,,Orson Welles|Herman J. Mankiewicz,Orson Welles,Orson Welles|Joseph Cotten|Dorothy Comingore|Ray Collins|George Coulouris|Agnes Moorehead|Paul Stewart|Ruth Warrick|Erskine Sanford|William Alland,Mercury Productions|RKO Radio Pictures,United States of America,Citizen Kane,15,tt0033467,6.0
City Lights,1931,Charlie Chaplin,Roland Totheroh|Gordon Pollock,Willard Nico|Charlie Chaplin,Henry Clive,Harry Crocker|Charlie Chaplin|Harry Carr,Charlie Chaplin,Charlie Chaplin|Virginia Cherrill|Florence Lee|Harry Myers|Al Ernest Garcia|Hank Mann|Albert Austin|Eddie Baker|Henry Bergman|Buster Brodie,Charles Chaplin Productions,United States of America,City Lights,901,tt0021749,9.0
Civil War,2024,Alex Garland,Rob Hardy,Jake Roberts,Caty Maxey,Alex Garland,Andrew Macdonald|Allon Reich|Gregory Goodman,Kirsten Dunst|Wagner Moura|Cailee Spaeny|Stephen McKinley Henderson|Nelson Lee|Nick Offerman|Jefferson White|Evan Lai|Vince Pisani|Justin James Boykin,DNA Films|IPR.VC|A24,Finland|United Kingdom|United States of America,Civil War,929590,tt17279496,8.0
Close Encounters of the Third Kind,1977,Steven Spielberg,Vilmos Zsigmond,Michael Kahn,Joe Alves,Steven Spielberg,Clark L. Paylow|Julia Phillips|Michael Phillips,Richard Dreyfuss|François Truffaut|Teri Garr|Melinda Dillon|Bob Balaban|J. Patrick McNamara|Warren J. Kemmerling|Roberts Blossom|Phil Dodds|Cary Guffey,Julia/Michael Phillips Productions|Columbia Pictures|EMI Films,United Kingdom|United States of America,Close Encounters of the Third Kind,840,tt0075860,7.0
Cloud Atlas,2012,Lilly Wachowski|Lana Wachowski|Tom Tykwer,Frank Griebe|John Toll,Alexander Berner|Claus Wehlisch,Uli Hanisch|Hugh Bateup,Lana Wachowski|Lilly Wachowski|Tom Tykwer,Lilly Wachowski|Grant Hill|Lana Wachowski|Stefan Arndt|Tom Tykwer|Alexander Rodnyansky,Tom Hanks|Halle Berry|Jim Broadbent|Hugo Weaving|Jim Sturgess|Bae Doona|Ben Whishaw|James D'Arcy|Zhou Xun|Keith David,Cloud Atlas Productions|Anarchos Productions|X Filme Creative Pool|A Company|Dreams of Dragon Pictures|Media Asia Film Production|Ascension Pictures|ARD Degeto,Germany|United States of America|China|Hong Kong|Singapore,Cloud Atlas,83542,tt1371111,9.0
Cloverfield,2008,Matt Reeves,Michael Bonvillain,Kevin Stitt,Martin Whist,Drew Goddard,J.J. Abrams|Bryan Burk,Lizzy Caplan|Jessica Lucas|T.J. Miller|Michael Stahl-David|Mike Vogel|Odette Annable|Anjul Nigam|Margot Farley|Theo Rossi|Brian Klugman,Bad Robot,United States of America,Cloverfield,7191,tt1060277,5.0
Coco,2017,Lee Unkrich,Matt Aspbury|Danielle Feinberg,Lee Unkrich|Steve Bloom,Harley Jessup,Adrian Molina|Matthew Aldrich,Darla K. Anderson,Anthony Gonzalez|Gael García Bernal|Benjamin Bratt|Alanna Ubach|Renée Victor|Jaime Camil|Alfonso Arau|Herbert Siguenza|Gabriel Iglesias|Lombardo Boyar,Pixar,United States of America,Coco,354912,tt2380307,9.0
Come Together,,,,,,,,,,,,1612022,tt6282412,8.0
Conclave,2024,Edward Berger,Stéphane Fontaine,Nick Emerson,Suzie Davies,Peter Straughan,Tessa Ross|Alice Dawson|Juliette Howell|Michael Jackman|Robert Harris,Ralph Fiennes|Stanley Tucci|John Lithgow|Isabella Rossellini|Lucian Msamati|Carlos Diehz|Sergio Castellitto|Brían F. O'Byrne|Merab Ninidze|Thomas Loibl,FilmNation Entertainment|House Productions|Indian Paintbrush,United Kingdom|United States of America,Conclave,974576,tt20215234,9.0
Cool Hand Luke,1967,Stuart Rosenberg,Conrad Hall,Sam O'Steen,,Donn Pearce|Frank Pierson|Hal Dresner,Carter DeHaven Jr.|Gordon Carroll,Paul Newman|George Kennedy|Luke Askew|Morgan Woodward|Harry Dean Stanton|Dennis Hopper|Lou Antonio|Robert Drivas|Strother Martin|Jo Van Fleet,Warner Bros.-Seven Arts|Jalem Productions,United States of America,Cool Hand Luke,903,tt0061512,9.0
Coraline,2009,Henry Selick,Pete Kozachik,Christopher Murrie|Ronald Sanders,,Henry Selick,Claire Jennings|Harry Linden|Bill Mechanic|Mary Sandell|Henry Selick,Dakota Fanning|Teri Hatcher|Jennifer Saunders|Dawn French|Keith David|John Hodgman|Robert Bailey Jr.|Ian McShane|Aankha Neal|George Selick,LAIKA|Pandemonium,United States of America,Coraline,14836,tt0327597,7.0
Cosmos Laundromat,2015,Mathieu Auvray,,,,Esther Wouda,Ton Roosendaal,Pierre Bokma|Reinout Scholten van Aschat,Blender Foundation|Blender Institute,Netherlands,Cosmos Laundromat,358332,tt4957236,7.0
Cowboys & Aliens,2011,Jon Favreau,Matthew Libatique,Dan Lebental|Jim May,Scott Chambliss,Roberto Orci|Alex Kurtzman|Damon Lindelof|Mark Fergus|Hawk Ostby|Steve Oedekerk,Brian Grazer|Ron Howard|Alex Kurtzman|Roberto Orci,Daniel Craig|Harrison Ford|Olivia Wilde|Sam Rockwell|Adam Beach|Paul Dano|Noah Ringer|Keith Carradine|Clancy Brown|Walton Goggins,DreamWorks Pictures|Universal Pictures|Reliance Entertainment|Relativity Media|Imagine Entertainment|K/O Paper Products|Fairview Entertainment|Platinum Studios|Amblin Entertainment,India|United States of America,Cowboys & Aliens,49849,tt0409847,3.0
Creed,2015,Ryan Coogler,Maryse Alberti,Michael P. Shawver|Claudia Castello,Hannah Beachler,Aaron Covington|Ryan Coogler,Irwin Winkler|William Chartoff|Sylvester Stallone|Charles Winkler|David Winkler|Robert Chartoff|Kevin King Templeton,Michael B. Jordan|Sylvester Stallone|Tessa Thompson|Phylicia Rashād|Andre Ward|Tony Bellew|Ritchie Coster|Jacob 'Stitch' Duran|Graham McTavish|Malik Bazille,Metro-Goldwyn-Mayer|New Line Cinema|Chartoff-Winkler Productions,United States of America,Creed,312221,tt3076658,6.0
Creed II,2018,Steven Caple Jr.,Kramer Morgenthau,Saira Haider|Dana E. Glauberman|Paul Harb,Franco-Giacomo Carbone,Sylvester Stallone|Sascha Penn|Cheo Hodari Coker|Juel Taylor,Sylvester Stallone|William Chartoff|Irwin Winkler|Ian Sharples|Charles Winkler|David Winkler|Kevin King Templeton,Michael B. Jordan|Sylvester Stallone|Tessa Thompson|Wood Harris|Russell Hornsby|Phylicia Rashād|Dolph Lundgren|Florian Munteanu|Andre Ward|Brigitte Nielsen,Metro-Goldwyn-Mayer|New Line Cinema|Chartoff-Winkler Productions,United States of America,Creed II,480530,tt6343314,6.0
Dark Waters,2019,Todd Haynes,Edward Lachman,Affonso Gonçalves,Hannah Beachler,Mario Correa|Matthew Michael Carnahan|Nathaniel Rich,Mark Ruffalo|Pamela Koffler|Jeff Skoll|Christine Vachon,Mark Ruffalo|Anne Hathaway|Tim Robbins|Bill Pullman|Bill Camp|Victor Garber|Mare Winningham|William Jackson Harper|Louisa Krause|Kevin Crowley,Participant|Willi Hill|Killer Films|Focus Features,United States of America,Dark Waters,552178,tt9071322,9.0
Darkest Hour,2017,Joe Wright,Bruno Delbonnel,Valerio Bonelli,Sarah Greenwood,Anthony McCarten,Eric Fellner|Lisa Bruce|Anthony McCarten|Douglas Urbanski|Tim Bevan,Gary Oldman|Stephen Dillane|Lily James|Ronald Pickup|Ben Mendelsohn|Kristin Scott Thomas|Nicholas Jones|Samuel West|David Schofield|Richard Lumsden,Working Title Films|Perfect World Pictures|Focus Features,United Kingdom|United States of America,Darkest Hour,399404,tt4555426,8.0
Das Boot,1981,Wolfgang Petersen,Jost Vacano,Hannes Nikel,Rolf Zehetbauer,Wolfgang Petersen|Dean Riesner,Günter Rohrbach|Michael Bittins|Ortwin Freyermuth,Jürgen Prochnow|Herbert Grönemeyer|Klaus Wennemann|Hubertus Bengsch|Martin Semmelrogge|Bernd Tauber|Erwin Leder|Martin May|Heinz Hoenig|Uwe Ochsenknecht,Radiant Film|Bavaria Film,Germany,Das Boot,387,tt0082096,7.0
The Lives of Others,2006,Florian Henckel von Donnersmarck,Hagen Bogdanski,Patricia Rommel,Silke Buhr,Florian Henckel von Donnersmarck,Max Wiedemann|Quirin Berg,Martina Gedeck|Ulrich Mühe|Sebastian Koch|Ulrich Tukur|Thomas Thieme|Hans-Uwe Bauer|Volkmar Kleinert|Matthias Brenner|Charly Hübner|Herbert Knaup,Creado Film|Wiedemann & Berg Film|ARTE|BR,Germany|France,Das Leben der Anderen,582,tt0405094,8.0
Dead Poets Society,1989,Peter Weir,John Seale,William M. Anderson,Wendy Stites,Tom Schulman,Steven Haft|Paul Junger Witt|Tony Thomas,Robin Williams|Robert Sean Leonard|Ethan Hawke|Josh Charles|Gale Hansen|Dylan Kussman|Allelon Ruggiero|James Waterston|Norman Lloyd|Kurtwood Smith,A Steven Haft Production|Witt/Thomas Productions|Silver Screen Partners IV|Touchstone Pictures,United States of America,Dead Poets Society,207,tt0097165,7.0
Deadpool,2016,Tim Miller,Ken Seng,Julian Clarke,Sean Haworth,Rhett Reese|Paul Wernick,Ryan Reynolds|Simon Kinberg|Lauren Shuler Donner,Ryan Reynolds|Morena Baccarin|Ed Skrein|T.J. Miller|Gina Carano|Leslie Uggams|Brianna Hildebrand|Stefan Kapičić|Karan Soni|Randal Reeder,20th Century Fox|The Donners' Company|Genre Films|Marvel Entertainment,United States of America,Deadpool,293660,tt1431045,5.0
Deadpool 2,2018,David Leitch,Jonathan Sela,Michael McCusker|Craig Alpert|Elísabet Ronaldsdóttir|Dirk Westervelt,David Scheunemann,Rhett Reese|Paul Wernick|Ryan Reynolds,Simon Kinberg|Ryan Reynolds|Lauren Shuler Donner,Ryan Reynolds|Josh Brolin|Morena Baccarin|Julian Dennison|Zazie Beetz|T.J. Miller|Leslie Uggams|Karan Soni|Brianna Hildebrand|Jack Kesy,Maximum Effort|Genre Films|20th Century Fox|Marvel Entertainment,United States of America,Deadpool 2,383498,tt5463162,7.0
Dear White People,2014,Justin Simien,Topher Osborn,Phillip J. Bartell,Bruton Jones,Justin Simien,Justin Simien|Lena Waithe|Ann Le|Angel Lopez|Julia Lebedev|Effie Brown,Tyler James Williams|Tessa Thompson|Kyle Gallner|Teyonah Parris|Brandon P Bell|Brittany Curran|Justin Dobies|Marque Richardson|Malcolm Barrett|Dennis Haysbert,Homegrown Pictures|Duly Noted|Code Red|Roadside Attractions|Lionsgate,United States of America,Dear White People,114750,tt2235108,2.0
Demolition,2016,Jean-Marc Vallée,Yves Bélanger,Jean-Marc Vallée,John Paino,Bryan Sipe,Lianne Halfon|Sidney Kimmel|Thad Luckinbill|Trent Luckinbill|John Malkovich|Molly Smith|Russell Smith|Jean-Marc Vallée|Jon Schumacher,Jake Gyllenhaal|Naomi Watts|Chris Cooper|Judah Lewis|C.J. Wilson|Polly Draper|Malachy Cleary|Debra Monk|Heather Lind|Wass Stevens,Sidney Kimmel Entertainment|Mr. Mudd|Black Label Media|Sierra/Affinity,United States of America,Demolition,303991,tt1172049,8.0
Dennis the Menace,1993,Nick Castle,Thomas E. Ackerman,Alan Heim,James D. Bissell,John Hughes,John Hughes|Richard Vane,Walter Matthau|Mason Gamble|Joan Plowright|Christopher Lloyd|Lea Thompson|Robert Stanton|Amy Sakasitz|Kellen Hathaway|Paul Winfield|Natasha Lyonne,Hughes Entertainment,United States of America,Dennis the Menace,12139,tt0106701,3.0
The Captain,2018,Robert Schwentke,Florian Ballhaus,Michał Czarnecki,Harald Turzer,Robert Schwentke,Frieder Schlaich|Irene von Alberti|Paulo Branco,Max Hubacher|Milan Peschel|Frederick Lau|Alexander Fehling|Britta Hammelstein|Waldemar Kobus|Sebastian Rudolph|Marko Dyrlich|Alexander Hörbe|Sascha Alexander Geršak,Filmgalerie 451|Alfama Films|Opus Film|Facing East|Worst Case Entertainment|hands-on producers|Maria Films,Germany|France|Poland,Der Hauptmann,475094,tt6763252,8.0
Wings of Desire,1987,Wim Wenders,Henri Alekan,Peter Przygodda,,Peter Handke|Richard Reitinger|Wim Wenders|Bernard Eisenschitz,Wim Wenders|Anatole Dauman,Bruno Ganz|Solveig Dommartin|Otto Sander|Curt Bois|Peter Falk|Hans Martin Stier|Elmar Wilms|Sigurd Rachman|Beatrice Manowski|Bruno Rosaz,Road Movies|Argos films|WDR|Wim Wenders Stiftung,Germany|France,Der Himmel über Berlin,144,tt0093191,9.0
The Seventh Seal,1957,Ingmar Bergman,Gunnar Fischer,Lennart Wallén,P.A. Lundgren,Ingmar Bergman,Allan Ekelund,Gunnar Björnstrand|Bengt Ekerot|Nils Poppe|Max von Sydow|Bibi Andersson|Inga Gill|Maud Hansson|Inga Landgré|Gunnel Lindblom|Bertil Anderberg,SF Studios,Sweden,Det sjunde inseglet,490,tt0050976,7.0
Dick Tracy,1990,Warren Beatty,Vittorio Storaro,Richard Marks,Richard Sylbert,Jim Cash|Jack Epps Jr.,Warren Beatty,Warren Beatty|Al Pacino|Madonna|Dustin Hoffman|James Caan|Charlie Korsmo|Glenne Headly|Mandy Patinkin|Seymour Cassel|James Keane,Touchstone Pictures|Mulholland Productions|Silver Screen Partners IV,United States of America,Dick Tracy,8592,tt0099422,5.0
Die Hard,1988,John McTiernan,Jan de Bont,Frank J. Urioste|John F. Link,Jackson De Govia,Jeb Stuart|Steven E. de Souza,Joel Silver|Beau Marks|Lawrence Gordon,Bruce Willis|Alan Rickman|Alexander Godunov|Bonnie Bedelia|Reginald VelJohnson|Paul Gleason|De'voreaux White|William Atherton|Hart Bochner|James Shigeta,Gordon Company|Silver Pictures|20th Century Fox,United States of America,Die Hard,562,tt0095016,7.0
District 9,2009,Neill Blomkamp,Trent Opaloch,Julian Clarke,Philip Ivey,Neill Blomkamp|Terri Tatchell,Peter Jackson|Carolynne Cunningham,Sharlto Copley|Jason Cope|Nathalie Boltt|Sylvaine Strike|Elizabeth Mkandawie|John Sumner|William Allen Young|Nick Blake|Greg Melvill-Smith|Robert Hobbs,TriStar Pictures|Block / Hanson|WingNut Films|District 9,New Zealand|South Africa|United States of America,District 9,17654,tt1136608,9.0
Django Unchained,2012,Quentin Tarantino,Robert Richardson,Fred Raskin,J. Michael Riva,Quentin Tarantino,Stacey Sher|Reginald Hudlin|Pilar Savone,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio|Kerry Washington|Samuel L. Jackson|Walton Goggins|Dennis Christopher|James Remar|David Steen|Dana Gourrier,The Weinstein Company|Columbia Pictures,United States of America,Django Unchained,68718,tt1853728,9.0
Doctor Strange,2016,Scott Derrickson,Ben Davis,Sabrina Plisco|Wyatt Smith,Charles Wood,Scott Derrickson|Jon Spaihts|C. Robert Cargill,Kevin Feige,Benedict Cumberbatch|Chiwetel Ejiofor|Rachel McAdams|Benedict Wong|Mads Mikkelsen|Tilda Swinton|Michael Stuhlbarg|Benjamin Bratt|Scott Adkins|Zara Phythian,Marvel Studios,United States of America,Doctor Strange,284052,tt1211837,8.0
Don't Look Up,2021,Adam McKay,Linus Sandgren,Hank Corwin,Clayton Hartley,Adam McKay|David Sirota,Adam McKay|Kevin J. Messick,Leonardo DiCaprio|Jennifer Lawrence|Meryl Streep|Cate Blanchett|Rob Morgan|Jonah Hill|Mark Rylance|Tyler Perry|Timothée Chalamet|Ron Perlman,Hyperobject Industries,United States of America,Don't Look Up,646380,tt11286314,3.0
Donnie Darko,2001,Richard Kelly,Steven Poster,Sam Bauer|Eric Strand,Alec Hammond,Richard Kelly,Nancy Juvonen|Adam Fields|Sean McKittrick,Jake Gyllenhaal|Jena Malone|James Duval|Drew Barrymore|Beth Grant|Maggie Gyllenhaal|Mary McDonnell|Holmes Osborne|Noah Wyle|Katharine Ross,Flower Films|Pandora Cinema|Newmarket Films,United States of America,Donnie Darko,141,tt0246578,9.0
Double Indemnity,1944,Billy Wilder,John F. Seitz,Doane Harrison,David S. Hall,Billy Wilder|Raymond Chandler,Joseph Sistrom,Fred MacMurray|Barbara Stanwyck|Edward G. Robinson|Porter Hall|Jean Heather|Tom Powers|Byron Barr|Richard Gaines|Fortunio Bonanova|John Philliber,Paramount Pictures,United States of America,Double Indemnity,996,tt0036775,8.0
Dr. No,1962,Terence Young,Ted Moore,Peter R. Hunt,Ken Adam,Johanna Harwood|Berkely Mather|Richard Maibaum,Harry Saltzman|Albert R. Broccoli,Sean Connery|Ursula Andress|Joseph Wiseman|Jack Lord|Anthony Dawson|Zena Marshall|John Kitzmiller|Eunice Gayson|Bernard Lee|Lois Maxwell,EON Productions|United Artists,United Kingdom,Dr. No,646,tt0055928,8.0
